Interval=	0,01 s
ExcelDateTime=	4,2528612356187317e+004	07.06.2016 14:41:47,574584
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2
Range=	20,000 mV
8,53	-0,863
8,54	-0,860
8,55	-0,866
8,56	-0,847
8,57	-0,821
8,58	-0,836
8,59	-0,860
8,6	-0,811
8,61	-0,684
8,62	-0,603
8,63	-0,632
8,64	-0,696
8,65	-0,727
8,66	-0,731
8,67	-0,707
8,68	-0,629
8,69	-0,534
8,7	-0,476
8,71	-0,405
8,72	-0,224
8,73	0,091
8,74	0,482
8,75	0,894
8,76	1,282
8,77	1,571
8,78	1,680
8,79	1,600
8,8	1,367
8,81	1,026
8,82	0,664
8,83	0,359
8,84	0,120
8,85	-0,096
8,86	-0,325
8,87	-0,581
8,88	-0,829
8,89	-0,998
8,9	-1,054
8,91	-1,042
8,92	-1,044
8,93	-1,089
8,94	-1,145
8,95	-1,174
8,96	-1,163
8,97	-1,121
8,98	-1,073
8,99	-1,023
9	-0,966
9,01	-0,902
9,02	-0,822
9,03	-0,722
9,04	-0,626
9,05	-0,529
9,06	-0,402
9,07	-0,268
9,08	-0,181
9,09	-0,169
9,1	-0,223
9,11	-0,298
9,12	-0,357
9,13	-0,396
9,14	-0,442
9,15	-0,505
9,16	-0,596
9,17	-0,703
9,18	-0,771
9,19	-0,806
9,2	-0,859
9,21	-0,929
9,22	-0,976
9,23	-0,971
9,24	-0,946
9,25	-0,939
9,26	-0,937
9,27	-0,925
9,28	-0,917
9,29	-0,915
9,3	-0,901
9,31	-0,873
9,32	-0,830
9,33	-0,774
9,34	-0,743
9,35	-0,753
9,36	-0,776
9,37	-0,770
9,38	-0,729
9,39	-0,686
9,4	-0,666
9,41	-0,679
9,42	-0,708
9,43	-0,711
9,44	-0,672
9,45	-0,601
9,46	-0,497
9,47	-0,348
9,48	-0,146
9,49	0,114
9,5	0,427
9,51	0,761
9,52	1,083
9,53	1,362
9,54	1,531
9,55	1,514
9,56	1,308
9,57	0,988
9,58	0,646
9,59	0,344
9,6	0,069
9,61	-0,206
9,62	-0,475
9,63	-0,717
9,64	-0,917
9,65	-1,059
9,66	-1,119
9,67	-1,109
9,68	-1,089
9,69	-1,096
9,7	-1,134
9,71	-1,183
9,72	-1,213
9,73	-1,216
9,74	-1,199
9,75	-1,138
9,76	-1,004
9,77	-0,859
9,78	-0,781
9,79	-0,710
9,8	-0,584
9,81	-0,453
9,82	-0,333
9,83	-0,219
9,84	-0,151
9,85	-0,159
9,86	-0,229
9,87	-0,326
9,88	-0,411
9,89	-0,478
9,9	-0,542
9,91	-0,606
9,92	-0,641
9,93	-0,672
9,94	-0,761
9,95	-0,876
9,96	-0,940
9,97	-0,964
9,98	-0,993
9,99	-0,999
10	-0,959
10,01	-0,927
10,02	-0,954
10,03	-0,995
10,04	-0,985
10,05	-0,948
10,06	-0,940
10,07	-0,933
10,08	-0,882
10,09	-0,815
10,1	-0,786
10,11	-0,801
10,12	-0,813
10,13	-0,798
10,14	-0,790
10,15	-0,788
10,16	-0,763
10,17	-0,731
10,18	-0,729
10,19	-0,728
10,2	-0,654
10,21	-0,484
10,22	-0,231
10,23	0,085
10,24	0,405
10,25	0,696
10,26	0,992
10,27	1,292
10,28	1,482
10,29	1,463
10,3	1,259
10,31	0,971
10,32	0,684
10,33	0,411
10,34	0,111
10,35	-0,232
10,36	-0,551
10,37	-0,761
10,38	-0,879
10,39	-0,977
10,4	-1,077
10,41	-1,158
10,42	-1,203
10,43	-1,232
10,44	-1,270
10,45	-1,301
10,46	-1,319
10,47	-1,311
10,48	-1,264
10,49	-1,187
10,5	-1,079
10,51	-0,939
10,52	-0,787
10,53	-0,651
10,54	-0,523
10,55	-0,374
10,56	-0,241
10,57	-0,184
10,58	-0,208
10,59	-0,226
10,6	-0,198
10,61	-0,229
