Interval=	0,01 s
ExcelDateTime=	4,1795674607928238e+004	05.06.2014 16:11:26,125
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	20,000 mV
7,06	0,242
7,07	0,441
7,08	0,629
7,09	0,804
7,1	0,970
7,11	1,128
7,12	1,277
7,13	1,420
7,14	1,558
7,15	1,686
7,16	1,806
7,17	1,921
7,18	2,029
7,19	2,130
7,2	2,226
7,21	2,313
7,22	2,394
7,23	2,468
7,24	2,534
7,25	2,595
7,26	2,659
7,27	2,723
7,28	2,784
7,29	2,843
7,3	2,901
7,31	2,959
7,32	3,017
7,33	3,079
7,34	3,145
7,35	3,209
7,36	3,270
7,37	3,328
7,38	3,381
7,39	3,430
7,4	3,478
7,41	3,521
7,42	3,556
7,43	3,582
7,44	3,599
7,45	3,607
7,46	3,607
7,47	3,601
7,48	3,588
7,49	3,569
7,5	3,551
7,51	3,534
7,52	3,515
7,53	3,493
7,54	3,469
7,55	3,446
7,56	3,425
7,57	3,400
7,58	3,370
7,59	3,342
7,6	3,314
7,61	3,278
7,62	3,233
7,63	3,168
7,64	3,074
7,65	2,949
7,66	2,791
7,67	2,611
7,68	2,432
7,69	2,266
7,7	2,114
7,71	1,974
7,72	1,844
7,73	1,723
7,74	1,607
7,75	1,498
7,76	1,394
7,77	1,294
7,78	1,198
7,79	1,103
7,8	1,007
7,81	0,909
7,82	0,810
7,83	0,710
7,84	0,606
7,85	0,497
7,86	0,386
7,87	0,272
7,88	0,161
7,89	0,059
7,9	-0,041
7,91	-0,142
7,92	-0,240
7,93	-0,335
7,94	-0,428
7,95	-0,521
7,96	-0,613
7,97	-0,702
7,98	-0,787
7,99	-0,867
8,0	-0,944
8,01	-1,018
8,02	-1,091
8,03	-1,160
8,04	-1,226
8,05	-1,291
8,06	-1,354
8,07	-1,417
8,08	-1,481
8,09	-1,544
8,1	-1,606
8,11	-1,664
8,12	-1,716
8,13	-1,761
8,14	-1,805
8,15	-1,848
8,16	-1,891
8,17	-1,939
8,18	-1,988
8,19	-2,034
8,2	-2,078
8,21	-2,118
8,22	-2,154
8,23	-2,185
8,24	-2,213
8,25	-2,240
8,26	-2,266
8,27	-2,289
8,28	-2,311
8,29	-2,329
8,3	-2,343
8,31	-2,353
8,32	-2,360
8,33	-2,365
8,34	-2,365
8,35	-2,357
8,36	-2,346
8,37	-2,333
8,38	-2,316
8,39	-2,297
8,4	-2,280
8,41	-2,262
8,42	-2,238
8,43	-2,204
8,44	-2,152
8,45	-2,071
8,46	-1,964
8,47	-1,838
8,48	-1,684
8,49	-1,504
8,5	-1,313
8,51	-1,120
8,52	-0,922
8,53	-0,713
8,54	-0,502
8,55	-0,298
8,56	-0,103
8,57	0,089
8,58	0,278
8,59	0,459
8,6	0,632
8,61	0,803
8,62	0,974
8,63	1,139
8,64	1,300
8,65	1,459
8,66	1,614
8,67	1,770
8,68	1,930
8,69	2,089
8,7	2,243
8,71	2,398
8,72	2,549
8,73	2,691
8,74	2,830
8,75	2,972
8,76	3,116
8,77	3,258
8,78	3,397
8,79	3,533
8,8	3,665
8,81	3,790
8,82	3,906
8,83	4,015
8,84	4,119
8,85	4,223
