Interval=	0,01 s
ExcelDateTime=	4,1795673598807873e+004	05.06.2014 16:09:58,937
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	20,000 mV
8,24	-2,400
8,25	-2,439
8,26	-2,481
8,27	-2,524
8,28	-2,566
8,29	-2,607
8,3	-2,648
8,31	-2,686
8,32	-2,719
8,33	-2,749
8,34	-2,779
8,35	-2,811
8,36	-2,843
8,37	-2,876
8,38	-2,913
8,39	-2,954
8,4	-2,997
8,41	-3,042
8,42	-3,084
8,43	-3,126
8,44	-3,166
8,45	-3,204
8,46	-3,241
8,47	-3,279
8,48	-3,316
8,49	-3,352
8,5	-3,388
8,51	-3,421
8,52	-3,453
8,53	-3,479
8,54	-3,499
8,55	-3,516
8,56	-3,527
8,57	-3,539
8,58	-3,547
8,59	-3,549
8,6	-3,551
8,61	-3,548
8,62	-3,541
8,63	-3,538
8,64	-3,546
8,65	-3,563
8,66	-3,582
8,67	-3,599
8,68	-3,614
8,69	-3,631
8,7	-3,644
8,71	-3,652
8,72	-3,659
8,73	-3,664
8,74	-3,669
8,75	-3,673
8,76	-3,676
8,77	-3,679
8,78	-3,685
8,79	-3,689
8,8	-3,692
8,81	-3,692
8,82	-3,691
8,83	-3,688
8,84	-3,686
8,85	-3,685
8,86	-3,684
8,87	-3,681
8,88	-3,678
8,89	-3,674
8,9	-3,664
8,91	-3,654
8,92	-3,646
8,93	-3,638
8,94	-3,629
8,95	-3,620
8,96	-3,609
8,97	-3,595
8,98	-3,581
8,99	-3,566
9,0	-3,551
9,01	-3,536
9,02	-3,522
9,03	-3,507
9,04	-3,493
9,05	-3,481
9,06	-3,473
9,07	-3,465
9,08	-3,459
9,09	-3,453
9,1	-3,446
9,11	-3,441
9,12	-3,436
9,13	-3,431
9,14	-3,426
9,15	-3,421
9,16	-3,416
9,17	-3,413
9,18	-3,411
9,19	-3,408
9,2	-3,404
9,21	-3,399
9,22	-3,393
9,23	-3,386
9,24	-3,379
9,25	-3,370
9,26	-3,361
9,27	-3,352
